;Unnamed: 0;doi;author;year;title;abstract;BibTexID;included in paper review;exclusion_reasons;measurement modality;condition design;sample size;sample;pairing configuration;pairing setup;relationship pair;interaction scenario;interaction manipulation;type of communication;transfer of information;paradigm;task symmetry;analysis method;cognitive function;other_labels
0;0;10.3390/info13070312;Balconi, M. and Crivelli, D. and Cassioli, F.;2022;"""We Will Let You Know'': An Assessment of Digital vs. Face-to-Face Job Interviews via EEG Connectivity Analysis";We focused on job interviews as critical examples of complex social interaction in orga-nizational contexts. We aimed at investigating the effect of face-to-face vs. computer-mediated interaction, of role (candidate, recruiter), and of the interview phase (introductory, attitudinal, techni-cal, conclusive) on intra-brain and inter-brain connectivity measures and autonomic synchronization. Twenty expert recruiters and potential candidates took part in a hyperscanning investigation. Namely, electroencephalography (delta, theta, alpha, beta bands) and autonomic (skin-conductance, heart-rate) data were collected in candidate-recruiter dyads during a simulated job interview and then concurrently analyzed. Analyses highlighted a link between face-to-face condition and greater intra-/inter-brain connectivity indices in delta and theta bands. Furthermore, intra-brain and inter-brain connectivity measures were higher for delta and theta bands in the final interview phases compared to the first ones. Consistently, autonomic synchronization was higher during the final interview phases, specifically in the face-to-face condition. Finally, recruiters showed higher intra-brain connectivity in the delta range over frontal and temporoparietal areas, while candidates showed higher intra-brain connectivity in the theta range over frontal areas. Findings highlight the value of hyperscanning investigations in exploring social attunement in professional contexts and hint at their potential to foster neuroscience-informed practices in human resource management processes. \copyright 2022 by the authors. Licensee MDPI, Basel, Switzerland.;balconi2022wewillletyoukn;True;;['ECG', 'EDA', 'EEG'];between-subjects;20;healthy adults;dyad;n/s;['unfamiliar', 'instructor-student'];['FTF', 'virtual'];['verbal IM', 'separate digital IM and verbal IM'];open-ended;mixed;ecologically valid setting;low;connectivity functional;social cognition;['EEG electrode number: 15']
1;1;10.3389/fnins.2021.724679;Numata, Takashi and Kotani, Kiyoshi and Sato, Hiroki;2021;Relationship Between Subjective Ratings of Answers and Behavioral and Autonomic Nervous Activities During Creative Problem-Solving via Online Conversation;Creative problem solving has been important for the advent of new technologies. In this study, we hypothesized that subjective ratings of answers should be useful for evaluating the answer quality in creative problem solving. To test this hypothesis and extract objective indicators of the subjective ratings of answers, we evaluated the relationship between subjective ratings of task performance and behavioral and autonomic nervous activities during a creative problem-solving task performed via online conversation. The task involved an answerer and a supporter, and in the experiment, each pair performed 10 trials. The trials were categorized as highly or lowly rated according to the answerer’s confidence in the answer. The task performance and behavioral and autonomic nervous activities were then compared between these categories of trials. Behavioral activity was evaluated via movements and speech activities, while for autonomic nervous activity, sympathetic nervous activity (SNA) was evaluated via skin conductance. The task performance was significantly better in the highly rated trials, whereas there were no significant differences in the behavioral activities between the highly and lowly rated trials. Moreover, in the highly rated trials, the skin conductance of the answerer was significantly high, whereas that of the supporter was significantly low. The results support the hypothesis and suggest that contrasting differences in SNA between an answerer and a supporter are indicators of the subjective ratings of answers in creative problem solving. © Copyright © 2021 Numata, Kotani and Sato.;numata2021relationshipbe;True;;['ECG', 'EDA', 'other'];within-subjects;9;healthy adults;dyad;mm;familiar;virtual;separate digital IM and verbal IM;mixed;digital;ecologically valid setting;low;temporal domain time;['memory', 'executive function'];['respiration', 'Fermi questions']
2;2;10.1111/psyp.14227;Snijdewint, Joyce A. and Scheepers, Daan;2023;Group-based flow: The influence of cardiovascular synchronization and identifiability;Previous work has demonstrated the role of group-based flow in group performance and experience, but the physiological correlates of these relations are largely unknown. We examined the relation between cardiovascular synchronization, self-reported flow, and performance in a three-person online gaming task. We included measures of Heart Rate (HR), Pre-Ejection Period (PEP), and Cardiac Output (CO) as indices of task engagement and challenge (vs. threat) motivation. Group members were identifiable (i.e., visible) or anonymous during the game. Results indicated that PEP (as a marker of task engagement) and within-group synchronization in PEP, predicted flow, and that synchronization in PEP mediated the relation between group performance and experienced flow. The anonymity vs. identifiability of group members did not play a role in these effects. Results are discussed in terms of implications for flow theory, group dynamics, and physiological synchrony.;snijdewint2023groupbasedflow;True;;['ECG', 'other'];between-subjects;117;healthy adults;triad;['ff', 'fm', 'mm'];['familiar', 'unfamiliar'];['FTF', 'SBS v-b'];separate digital IM w/out verbal IM;goal-driven;digital;cooperation/competition tasks;low;['temporal domain time', 'connectivity functional'];['attention', 'executive function'];['flow', 'group flow', 'dynamic time warping (DTW)', 'impedance cardiography']
3;3;10.1007/978-3-031-36103-6_12;Balters, Stephanie and Hawthorne, Grace and Reiss, Allan L.;2023;Priming Activity to Increase Interpersonal Closeness, Inter-Brain Coherence, and Team Creativity Outcome;Organizational research demonstrates that team interpersonal closeness enhances team performance and creativity. Design thinking practitioners and educators have adopted the concepts of interpersonal closeness and developed priming activities to propel subsequent creative-innovation tasks. In recent years, it has become paramount that these activities are effective in in-person and virtual (Zoom®) interaction settings. In this chapter, we present a design thinking (DT) activity to increase interpersonal closeness in in-person and virtual teams. We derived the DT activity from a Nonviolent Communication exercise frequently used to increase interpersonal closeness between individuals. In an empirical study (N = 72 participants, N = 36 dyads), we assessed whether the DT activity increased interpersonal closeness compared to two control tasks (i.e., a problem-solving and a creative-innovation task). Dyad partners engaged in either an in-person or virtual interaction group throughout the experiment (between-subject design). We also captured inter-brain signatures between dyad partners with portable functional near-infrared spectroscopy neuroimaging during the entire study. Results show that the DT activity increased interpersonal closeness in the in-person and virtual groups compared to the control tasks. We identified a distinct inter-brain signature in the right frontocortical region linked to the DT activity. Notably, this inter-brain signature differed between in-person and virtual groups. This finding suggests that conducting the DT activity in person may be more conducive to this prosocial inter-brain coherence pattern than the virtual interaction setting. Finally, preliminary results (N = 12 dyads) suggest that the DT activity increased performance in a subsequent creative-innovation task. Future research needs to confirm this hypothesis.;balters2023primingactivit;False;duplicate of Balters et al. (2023), Journal of Neuroscience;fNIRS;between-subjects;72;healthy adults;dyad;['ff', 'fm', 'mm'];unfamiliar;['FTF', 'virtual'];['shared physical IM and verbal IM', 'separate digital IM and verbal IM'];open-ended;mixed;ecologically valid setting;high;['temporal domain time', 'spatial domain sensor', 'connectivity functional'];other;['fNIRS channel number: 100', 'screen', 'wavelet transform coherence']
4;4;10.1093/cercor/bhab469;Gugnowska, Katarzyna and Novembre, Giacomo and Kohler, Natalie and Villringer, Arno and Keller, Peter E. and Sammler, Daniela;2022;Endogenous sources of interbrain synchrony in duetting pianists;When people interact with each other, their brains synchronize. However, it remains unclear whether interbrain synchrony (IBS) is functionally relevant for social interaction or stems from exposure of individual brains to identical sensorimotor information. To disentangle these views, the current dual-EEG study investigated amplitude-based IBS in pianists jointly performing duets containing a silent pause followed by a tempo change. First, we manipulated the similarity of the anticipated tempo change and measured IBS during the pause, hence, capturing the alignment of purely endogenous, temporal plans without sound or movement. Notably, right posterior gamma IBS was higher when partners planned similar tempi, it predicted whether partners' tempi matched after the pause, and it was modulated only in real, not in surrogate pairs. Second, we manipulated the familiarity with the partner's actions and measured IBS during joint performance with sound. Although sensorimotor information was similar across conditions, gamma IBS was higher when partners were unfamiliar with each other's part and had to attend more closely to the sound of the performance. These combined findings demonstrate that IBS is not merely an epiphenomenon of shared sensorimotor information but can also hinge on endogenous, cognitive processes crucial for behavioral synchrony and successful social interaction. © 2022 The Author(s). Published by Oxford University Press.;gugnowska2022endogenoussour;True;;['EEG', 'camera-based tracking'];within-subjects;28;healthy adults;dyad;['ff', 'fm', 'mm'];unfamiliar;virtual;physical IM w/out verbal IM;open-ended;digital;ecologically valid setting;low;['spatial domain sensor', 'connectivity functional', 'temporal domain frequency'];['motor', 'other'];['EEG electrode number: 29', 'piano music', 'phase locking value', 'EOG']
5;5;10.1093/cercor/bhad032;Balters, Stephanie and Miller, Jonas G. and Reiss, Allan L.;2023;Expressing appreciation is linked to interpersonal closeness and inter-brain coherence, both in person and over Zoom;Expressing appreciation is essential for establishing interpersonal closeness, but virtual interactions are increasingly common and create social distance. Little is known about the neural and inter-brain correlates of expressing appreciation and the potential effects of virtual videoconferencing on this kind of interaction. Here, we assess inter-brain coherence with functional near-infrared spectroscopy while dyads expressed appreciation to one another. We scanned 36 dyads (72 participants) who interacted in either an in-person or virtual (Zoom®) condition. Participants reported on their subjective experience of interpersonal closeness. As predicted, expressing appreciation increased interpersonal closeness between dyad partners. Relative to 3 other cooperation tasks (i.e. problem-solving task, creative-innovation task, socio-emotional task), we observed increased inter-brain coherence in socio-cognitive areas of the cortex (anterior frontopolar area, inferior frontal gyrus, premotor cortex, middle temporal gyrus, supramarginal gyrus, and visual association cortex) during the appreciation task. Increased inter-brain coherence in socio-cognitive areas during the appreciation task was associated with increased interpersonal closeness. These findings support the perspective that expressing appreciation, both in-person and virtually, increases subjective and neural metrics of interpersonal closeness. © The Author(s) 2023. Published by Oxford University Press. All rights reserved.;balters2023expressingappr;False;duplicate of Balters et al. (2023), Journal of Neuroscience;fNIRS;between-subjects;72;healthy adults;dyad;['ff', 'fm', 'mm'];unfamiliar;['FTF', 'virtual'];verbal IM;open-ended;['analog', 'digital'];ecologically valid setting;high;['spatial domain source', 'connectivity functional'];social cognition;['fNIRS channel number: 100', 'screen', 'wavelet transform coherence']
6;6;10.1007/s12021-021-09558-z;"Bizzego, Andrea;
Azhari, Atiqah;
Esposito, Gianluca";2022;Assessing Computational Methods to Quantify Mother-Child Brain Synchrony in Naturalistic Settings Based on fNIRS Signals;Mother-child brain-to-brain synchrony captures the temporal similarities in brain signals between dyadic partners, and has been shown to emerge during the display of joint behaviours. Despite the rise in the number of studies that investigate synchrony in naturalistic contexts, the use of varying methodological approaches to compute synchrony remains a central problem. When dyads engage in unstructured social interactions, the wide range of behavioural cues they display contribute to the use of varying lengths of signals to compute synchrony. The present functional Near-infrared Spectroscopy (fNIRS) study investigates how different methods to quantify brain signals during joint and non-joint portions of dyadic play affect the outcome of brain-to-brain synchrony. Three strategies to cope with unstructured data are tested and different signal lengths of 15, 20, 25, 30, 35, 40, 45s were used to determine the optimal method to sensitively capture synchrony. Results showed that using all available portions of the signals generated a greater number of less conservative results compared to the other two strategies, which were to compute the average synchrony for the joint and non-joint signals portions and to compute the difference between the average synchrony of joint and non-joint portions. From the different signal durations, only length portions of 25s to 35s generated significant results. These findings demonstrate that differences in computational approaches and signal lengths affect synchrony measurements and should be considered in naturalistic synchrony studies.;bizzego2022assessingcompu;False;Population | >= 2 clinically healthy adult participants that are interacting and scanned simultaneously;fNIRS;within-subjects;31;['children', 'healthy adults'];dyad;['ff', 'fm'];parent-child;SBS;shared physical IM and verbal IM;open-ended;analog;ecologically valid setting;high;['connectivity functional'];social cognition;['wavelet transform coherence', 'fNIRS channel number: 20']
7;7;10.3389/fninf.2024.1409322;"Capotorto, Rossella;
Ronca, Vincenzo;
Sciaraffa, Nicolina;
Borghini, Gianluca;
Di Flumeri, Gianluca;
Mezzadri, Lorenzo;
Vozzi, Alessia;
Giorgi, Andrea;
Germano, Daniele;
Babiloni, Fabio;
Arico, Pietro";2024;Cooperation objective evaluation in aviation: validation and comparison of two novel approaches in simulated environment;"Introduction
In operational environments, human interaction and cooperation between individuals are critical to efficiency and safety. These states are influenced by individuals' cognitive and emotional states. Human factor research aims to objectively quantify these states to prevent human error and maintain constant performances, particularly in high-risk settings such as aviation, where human error and performance account for a significant portion of accidents.
Methods
Thus, this study aimed to evaluate and validate two novel methods for assessing the degree of cooperation among professional pilots engaged in real-flight simulation tasks. In addition, the study aimed to assess the ability of the proposed metrics to differentiate between the expertise levels of operating crews based on their levels of cooperation. Eight crews were involved in the experiments, consisting of four crews of Unexperienced pilots and four crews of Experienced pilots. An expert trainer, simulating air traffic management communication on one side and acting as a subject matter expert on the other, provided external evaluations of the pilots' mental states during the simulation. The two novel approaches introduced in this study were formulated based on circular correlation and mutual information techniques.
Results and discussion
The findings demonstrated the possibility of quantifying cooperation levels among pilots during realistic flight simulations. In addition, cooperation time is found to be significantly higher (p < 0.05) among Experienced pilots compared to Unexperienced ones. Furthermore, these preliminary results exhibited significant correlations (p < 0.05) with subjective and behavioral measures collected every 30 s during the task, confirming their reliability.";capotorto2024cooperationobj;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);['EEG'];['between-subjects'];16;['healthy adults'];['dyad'];['n/s'];['n/s'];['SBS'];['shared physical IM and verbal IM'];['mixed'];['analog'];['ecologically valid setting'];['high'];['temporal domain frequency', 'connectivity functional'];['executive function', 'visuospatial cognition', 'motor'];['EEG electrode number: 8', 'MI-Cooperation Index', ' pilot task', ' approach-withdrawal', ' mental workload']
8;8;10.1002/brb3.3181;Chuang, Chun-Hsiang and Hsu, Hao-Che;2023;Pseudo-mutual gazing enhances interbrain synchrony during remote joint attention tasking;Introduction: Mutual gaze enables people to share attention and increase engagement during social interactions through intentional and implicit messages. Although previous studies have explored gaze behaviors and neural mechanisms underlying in-person eye contact, the growing prevalence of remote communication has raised questions about how to establish mutual gaze remotely and how the brains of interacting individuals synchronize. Methods: To address these questions, we conducted a study using eye trackers to create a pseudo-mutual gaze channel that mirrors the gazes of each interacting dyad on their respective remote screens. To demonstrate fluctuations in coupling across brains, we incorporated electroencephalographic hyperscanning techniques to simultaneously record the brain activity of interacting dyads engaged in a joint attention task in player-observer, collaborative, and competitive modes. Results: Our results indicated that mutual gaze could improve the efficiency of joint attention activities among remote partners. Moreover, by employing the phase locking value, we could estimate interbrain synchrony (IBS) and observe low-frequency couplings in the frontal and temporal regions that varied based on the interaction mode. While dyadic gender composition significantly affected gaze patterns, it did not impact the IBS. Conclusion: These results provide insight into the neurological mechanisms underlying remote interaction through the pseudo-mutual gaze channel and have significant implications for developing effective online communication environments. © 2023 The Authors. Brain and Behavior published by Wiley Periodicals LLC.;chuang2023pseudomutualga;True;;['EEG', 'Eye-tracking'];within-subjects;58;healthy adults;dyad;['ff', 'fm', 'mm'];n/s;['FTF v-b', 'virtual'];separate digital IM w/out verbal IM;goal-driven;digital;['eye-contact/gaze-based tasks', 'cooperation/competition tasks'];high;['temporal domain time', 'connectivity functional', 'temporal domain frequency'];['attention', 'visuospatial cognition'];['EEG electrode number: 32', 'phase locking value', 'Tobii Eye Tracker 5']
9;9;10.1093/scan/nsac022;Cheng, Xiaojun and Guo, Bing and Hu, Yinying;2022;Distinct neural couplings to shared goal and action coordination in joint action: evidence based on fNIRS hyperscanning;Joint action is central to human nature, enabling individuals to coordinate in time and space to achieve a joint outcome. Such interaction typically involves two key elements: shared goal and action coordination. Yet, the substrates entrained to these two components in joint action remained unclear. In the current study, dyads performed two tasks involving both sharing goal and action coordination, i.e. complementary joint action and imitative joint action, a task only involving shared goal and a task only involving action coordination, while their brain activities were recorded by the functional near-infrared spectroscopy hyperscanning technique. The results showed that both complementary and imitative joint action (i.e. involving shared goal and action coordination) elicited better behavioral performance than the task only involving shared goal/action coordination. We observed that the interbrain synchronization (IBS) at the right inferior frontal cortex (IFC) entrained more to shared goal, while left-IFC IBS entrained more to action coordination. We also observed that the right-IFC IBS was greater during completing a complementary action than an imitative action. Our results suggest that IFC plays an important role in joint action, with distinct lateralization for the sub-components of joint action. © The Author(s) 2022. Published by Oxford University Press.;cheng2022distinctneural;False;Study Design | Collaborative scenario with >= 1 remote interaction manipulative ([virtually] separated during interaction);fNIRS;within-subjects;52;healthy adults;dyad;['ff', 'mm'];unfamiliar;FTF v-b;separate digital IM w/out verbal IM;goal-driven;digital;coordination tasks;high;connectivity functional;motor;['fNIRS channel number: 42', 'screen']
